,Tingo,Carota,Aurum,Folium,Muscus,Callaina,Caelus,Pruni,Viola,Ceres,Floris,Albeo,Bruna,Cafea,Picea,Chroma
Maroon,28960,29533,29832,28799,29695,29671,28936,29396,29558,29994,29259,29235,29097,29856,29969,28823
Red,29766,29007,29305,29604,29168,29144,29741,28869,29031,29467,28732,28708,29903,29330,29443,29628
Tangelo,28717,29290,29589,29887,29451,29427,28692,29153,29314,29750,29015,28991,28854,29613,29726,29912
Orange,29443,28683,28982,29281,28845,28821,29418,29878,28708,29144,29741,29717,29580,29007,29119,29305
Golden,28677,29250,29549,29848,29412,29387,29985,29113,29274,29710,28976,28951,28814,29573,29686,29872
Yellow,29040,29613,29912,28878,29775,29750,29015,29476,29637,28741,29339,29314,29177,29936,28717,28903
Lime,28757,29330,29628,29927,29491,29467,28732,29192,29354,29790,29055,29031,28894,29653,29766,29952
Green,29805,29046,29345,29644,29208,29184,29781,28909,29071,29507,28772,28748,29943,29369,29482,29668
Emerald,29726,28967,29266,29564,29128,29104,29701,28830,28991,29427,28692,28668,29863,29290,29403,29589
Olive,29930,29170,29469,29768,29332,29308,29905,29033,29195,29631,28896,28872,28735,29494,29606,29792
Marine,29606,28847,29146,29445,29009,28985,29582,28710,28872,29308,29905,29881,29744,29170,29283,29469
Aqua,29363,29936,28903,29201,28765,28741,29339,29799,29960,29064,29662,29637,29500,28927,29040,29226
Azure,29080,29653,29952,28918,29814,29790,29055,29516,29677,28781,29378,29354,29217,29976,28757,28942
Blue,29323,29896,28863,29162,28726,28701,29299,29759,29921,29024,29622,29598,29460,28887,29000,29186
Purple,29686,28927,29226,29524,29089,29064,29662,28790,28951,29387,29985,29960,29823,29250,29363,29549
Royal,29000,29573,29872,28838,29735,29710,28976,29436,29598,28701,29299,29274,29137,29896,28677,28863
Pink,29646,28887,29186,29485,29049,29024,29622,28750,28912,29347,29945,29921,29783,29210,29323,29509
Violet,29403,29976,28942,29241,28805,28781,29378,29839,28668,29104,29701,29677,29540,28967,29080,29266
White,29283,29856,28823,29122,28686,29994,29259,29719,29881,28985,29582,29558,29421,28847,28960,29146
Beige,29119,29693,29991,28958,29854,29830,29095,29555,29717,28821,29418,29394,29257,28683,28796,28982
Cocos,28796,29369,29668,29967,29531,29507,28772,29232,29394,29830,29095,29071,28934,29693,29805,29991
Black,29969,29210,29509,29808,29372,29347,29945,29073,29235,29671,28936,28912,28774,29533,29646,29832
Glass,28920,29494,29792,28759,29655,29631,28896,29356,29518,29954,29219,29195,29058,29817,29930,28783
,,,,,,,,,,,,,,,,
