,Tingo,Carota,Aurum,Folium,Muscus,Callaina,Caelus,Pruni,Viola,Ceres,Floris,Albeo,Bruna,Cafea,Picea,Chroma
Maroon,15549,14790,15088,15387,14951,14927,15524,15985,14814,15250,15847,15823,15686,15113,15226,15412
Red,15022,15595,15894,14860,15757,15732,14998,15458,15619,14723,15321,15296,15159,15918,14699,14885
Tangelo,15305,15878,14845,15144,14708,14683,15281,15741,15903,15006,15604,15580,15442,14869,14982,15168
Orange,14699,15272,15571,15869,15434,15409,14674,15135,15296,15732,14998,14973,14836,15595,15708,15894
Golden,15265,15839,14805,15104,14668,15976,15241,15701,15863,14967,15564,15540,15403,14829,14942,15128
Yellow,15628,14869,15168,15467,15031,15006,15604,14732,14894,15330,15927,15903,15766,15192,15305,15491
Lime,15345,15918,14885,15183,14748,14723,15321,15781,15943,15046,15644,15619,15482,14909,15022,15208
Green,15062,15635,15934,14900,15796,15772,15037,15498,15659,14763,15360,15336,15199,15958,14739,14925
Emerald,14982,15555,15854,14821,15717,15692,14958,15418,15580,14683,15281,15257,15119,15878,15991,14845
Olive,15186,15759,14726,15024,15921,15896,15161,15622,15783,14887,15485,15460,15323,14750,14863,15049
Marine,14863,15436,15735,14701,15597,15573,14838,15299,15460,15896,15161,15137,15000,15759,15872,14726
Aqua,15951,15192,15491,15790,15354,15330,15927,15055,15217,15653,14918,14894,14756,15515,15628,15814
Azure,15668,14909,15208,15507,15071,15046,15644,14772,14933,15369,15967,15943,15805,15232,15345,15531
Blue,15912,15153,15451,15750,15314,15290,15887,15015,15177,15613,14878,14854,14717,15476,15589,15774
Purple,14942,15515,15814,14781,15677,15653,14918,15378,15540,15976,15241,15217,15080,15839,15951,14805
Royal,15589,14829,15128,15427,14991,14967,15564,14692,14854,15290,15887,15863,15726,15153,15265,15451
Pink,14903,15476,15774,14741,15637,15613,14878,15338,15500,15936,15201,15177,15040,15799,15912,14765
Violet,15991,15232,15531,15830,15394,15369,15967,15095,15257,15692,14958,14933,14796,15555,15668,15854
White,15872,15113,15412,15710,15274,15250,15847,14976,15137,15573,14838,14814,14677,15436,15549,15735
Beige,15708,14949,15248,15546,15110,15086,15684,14812,14973,15409,14674,15982,15845,15272,15385,15571
Cocos,15385,15958,14925,15223,14787,14763,15360,15821,15982,15086,15684,15659,15522,14949,15062,15248
Black,15226,15799,14765,15064,15960,15936,15201,15662,15823,14927,15524,15500,15363,14790,14903,15088
Glass,15509,14750,15049,15347,14911,14887,15485,15945,14774,15210,15808,15783,15646,15073,15186,15372
,,,,,,,,,,,,,,,,
