,Tingo,Carota,Aurum,Folium,Muscus,Callaina,Caelus,Pruni,Viola,Ceres,Floris,Albeo,Bruna,Cafea,Picea,Chroma
Maroon,312,375,407,295,392,390,310,360,378,425,345,342,327,410,422,298
Red,400,318,350,383,335,332,397,303,320,368,433,430,415,353,365,385
Tangelo,431,348,381,413,366,363,428,333,351,398,319,316,301,384,396,416
Orange,365,427,315,347,300,297,362,412,430,332,397,395,380,318,330,350
Golden,427,344,377,409,362,359,424,329,347,394,314,312,297,379,391,412
Yellow,321,384,416,304,401,398,319,369,386,434,354,351,336,419,431,306
Lime,435,353,385,418,370,368,433,338,355,403,323,320,305,388,400,420
Green,404,322,354,387,339,337,402,307,325,372,292,434,419,357,369,390
Emerald,396,313,346,378,331,328,393,298,316,363,428,426,411,348,361,381
Olive,418,335,368,400,353,350,415,320,338,385,306,303,433,371,383,403
Marine,383,300,333,365,318,315,380,430,303,350,415,413,398,335,348,368
Aqua,356,419,306,339,291,434,354,404,421,324,389,386,371,309,321,341
Azure,325,388,420,308,405,403,323,373,391,293,358,355,340,423,435,311
Blue,352,414,302,334,432,429,349,399,417,319,385,382,367,305,317,337
Purple,391,309,341,374,326,324,389,294,312,359,424,421,406,344,356,377
Royal,317,379,412,299,397,394,314,364,382,429,349,347,332,414,427,302
Pink,387,305,337,370,322,319,385,435,307,355,420,417,402,340,352,372
Violet,361,423,311,343,296,293,358,408,426,328,393,391,376,313,325,346
White,348,410,298,330,428,425,345,395,413,315,380,378,363,300,312,333
Beige,330,392,425,312,410,407,327,377,395,297,362,360,345,427,295,315
Cocos,295,357,390,422,375,372,292,342,360,407,327,325,310,392,404,425
Black,422,340,372,405,357,355,420,325,342,390,310,307,292,375,387,407
Glass,308,371,403,291,388,385,306,356,373,421,341,338,323,406,418,293
