,Tingo,Carota,Aurum,Folium,Muscus,Callaina,Caelus,Pruni,Viola,Ceres,Floris,Albeo,Bruna,Cafea,Picea,Chroma
Maroon,74,90,98,106,94,93,74,86,90,102,82,82,78,99,102,107
Red,96,75,84,92,80,79,95,108,76,88,104,104,100,84,87,92
Tangelo,104,83,91,99,88,87,103,79,84,96,76,75,107,92,95,100
Orange,87,103,75,83,107,107,87,99,104,79,95,95,91,75,79,84
Golden,103,82,90,98,86,86,102,78,83,95,75,74,106,91,94,99
Yellow,76,92,100,108,96,96,76,88,93,104,84,84,80,101,104,109
Lime,105,84,92,100,89,88,104,80,85,97,77,76,109,93,96,101
Green,97,77,85,93,81,80,96,109,77,89,105,105,101,85,88,93
Emerald,95,74,82,91,79,78,94,107,75,87,103,102,99,83,86,91
Olive,101,80,88,96,84,84,100,76,81,92,109,108,104,89,92,97
Marine,92,107,79,87,76,75,91,104,108,84,100,99,95,80,83,88
Aqua,85,101,109,81,105,104,84,97,101,77,93,93,89,73,76,81
Azure,77,93,101,73,97,97,77,89,94,106,86,85,81,102,105,74
Blue,84,100,108,80,104,103,83,96,100,76,92,91,88,108,75,80
Purple,94,73,81,90,78,77,93,106,74,86,102,101,98,82,85,90
Royal,75,91,99,107,95,95,75,87,91,103,83,83,79,100,103,108
Pink,93,108,80,88,77,76,92,105,109,85,101,100,97,81,84,89
Violet,86,102,74,82,106,106,86,98,102,78,94,94,90,74,77,82
White,83,99,107,79,103,102,82,95,99,75,91,90,87,107,74,79
Beige,79,94,102,74,98,98,78,90,95,107,87,86,82,103,106,75
Cocos,106,85,93,102,90,89,105,82,86,98,78,77,73,94,97,102
Black,102,81,89,97,85,85,101,77,82,93,74,109,105,90,93,98
Glass,73,89,97,105,93,92,109,85,89,101,81,81,77,97,101,106
,,,,,,,,,,,,,,,,
